t_us,x_gal,y_gal,z_gal
476893058,-6.26057,-17.88733,983.35594
476903058,-6.70775,-18.93076,984.02672
476913058,-6.26057,-18.40904,982.61064
476923058,-6.70775,-16.91843,980.52378
476933058,-12.96831,-17.96186,979.92754
476943058,-21.24120,-13.78815,952.50030
476953058,-8.12383,-11.77583,1002.21217
476963058,-7.15493,-5.96244,992.89585
476973058,-6.18603,-27.42724,1023.97509
476983058,1.78873,-17.51468,1002.06311
476993058,14.98064,-39.57572,955.33246
477003058,-18.93076,-21.98651,977.16991
477013058,13.11738,-31.45189,943.70570
477023058,4.76995,-11.92489,985.59186
477033058,6.85681,-18.55810,996.24973
477043058,-6.18603,-20.19778,1010.48506
477053058,-10.58334,-21.16667,1002.73389
477063058,-14.83158,-30.03581,967.85359
477073058,-12.22301,-28.47067,969.26967
477083058,-18.78170,-27.20365,937.44513
477093058,-11.25411,-2.75763,927.23445
477103058,-22.80635,-7.45305,964.49972
477113058,-18.11092,-7.60212,995.95161
477123058,-20.79402,-9.09273,1006.90760
477133058,-10.88146,14.60799,995.50442
477143058,-22.73181,3.65200,999.97626
477153058,-16.99296,-7.67665,1010.85771
477163058,-5.81338,-18.63264,1011.08131
477173058,9.98709,-13.71362,999.90172
477183058,13.86268,-28.02348,984.17578
477193058,19.15435,-37.93604,979.25677
477203058,15.87501,-53.51293,993.86475
477213058,14.83158,-46.58159,982.23799
477223058,14.23533,-50.68077,970.98388
477233058,13.56456,-25.86210,970.46216
477243058,-5.51526,-33.68780,974.48681
477253058,-12.14848,-22.65728,977.39350
477263058,-23.77524,-20.27231,974.63587
477273058,-24.89320,-14.01174,962.41286
477283058,-23.92430,-2.90669,957.41932
477293058,-23.02994,-1.49061,956.52495
477303058,-22.21010,0.81984,965.99033
477313058,-17.81280,1.26702,976.27554
477323058,-25.86210,3.57747,999.23095
477333058,-14.53346,19.89965,1013.68987
477343058,-20.19778,9.98709,1028.37239
477353058,-15.20423,3.72653,1028.44692
477363058,-8.57101,-11.70129,1012.34832
477373058,1.26702,-30.11034,994.90818
477383058,2.68310,-44.49473,965.54315
477393058,12.22301,-45.16551,958.61181
477403058,14.16080,-55.15260,968.82249
477413058,16.24766,-68.56810,985.66639
477423058,57.98476,-43.00412,983.57954
477433058,17.36562,-54.63089,984.92109
477443058,3.27934,-13.19191,980.59831
477453058,-40.84274,-17.21655,944.07835
477463058,-61.78582,20.42137,942.43868
477473058,-26.45834,-10.95599,976.49914
477483058,46.05987,-22.21010,800.30894
477493058,-13.19191,12.67019,1054.23449
477503058,-22.21010,4.24824,972.62355
477513058,-16.02407,33.91140,981.34362
477523058,-36.51996,-0.14906,1028.59598
477533058,-43.97302,-1.78873,1066.68109
477543058,-25.48944,-4.91902,1042.30960
477553058,-6.63322,-2.08686,1014.21159
477563058,13.26644,-22.06104,987.75325
477573058,9.31632,-51.20248,955.70511
477583058,20.27231,-49.11563,986.48623
477593058,24.74414,-59.02819,956.15230
477603058,31.22830,-66.03406,970.76028
477613058,63.79814,-47.55048,948.17753
477623058,3.20481,-58.43194,971.43106
477633058,-28.24707,-22.28463,986.78435
477643058,-53.43840,-20.12325,960.92225
477653058,-56.79227,38.08511,971.05841
477663058,-91.82163,75.72303,1000.27438
477673058,109.03818,-88.02057,778.76961
477683058,45.24004,-5.96244,1031.05549
477693058,-64.69251,34.50764,996.62238
477703058,12.67019,-8.42195,971.65465
477713058,-0.52171,16.02407,983.87766
477723058,-37.78698,-18.25998,1037.24153
477733058,-33.31515,-16.54578,1059.52616
477743058,-24.89320,3.87559,1044.02380
477753058,0.29812,-9.01820,989.02027
477763058,14.53346,-16.69484,998.03846
477773058,-1.63967,-55.52525,964.20160
477783058,10.88146,-35.70013,984.17578
477793058,4.76995,-48.89203,962.18927
477803058,5.96244,-50.82983,961.89115
477813058,41.21539,-41.51351,951.97859
477823058,-3.13028,-64.39439,972.62355
477833058,-20.34684,-17.66374,1013.54081
477843058,-30.25940,-10.65787,980.44925
477853058,-24.07336,25.41491,957.19573
477863058,-49.48828,34.43311,976.49914
477873058,52.91668,-61.33863,919.55780
477883058,-42.55694,-5.66432,1011.90114
477893058,4.02465,-2.08686,978.13881
477903058,-7.52758,12.59566,978.88411
477913058,-21.61386,-6.48416,1022.63354
477923058,-36.14731,-6.55869,1053.56371
477933058,-28.17254,-3.65200,1039.55197
477943058,-13.41550,4.17371,997.59128
477953058,3.50294,-16.02407,982.90876
477963058,-10.21068,-51.20248,987.90231
477973058,10.06162,-40.84274,976.87179
477983058,4.91902,-35.02935,970.23857
477993058,3.80106,-46.13440,976.49914
478003058,21.68839,-51.57513,979.25677
478013058,36.44543,-55.07807,948.25206
478023058,-15.35329,-31.89907,971.43106
478033058,-29.21597,14.30986,967.70453
478043058,-42.85506,26.08569,942.51321
478053058,-56.49415,63.64908,965.99033
478063058,95.25003,-63.64908,886.83890
478073058,-52.76762,-52.17138,1039.47744
