t_us,x_gal,y_gal,z_gal
13523058,-6.33510,-17.88733,983.05782
13533058,-6.55869,-18.11092,982.75970
13543058,-6.26057,-18.85623,983.35594
13553058,-6.26057,-18.11092,983.43048
13563058,-6.48416,-18.11092,982.75970
13573058,-6.63322,-17.88733,983.13235
13583058,-6.33510,-18.48357,982.90876
13593058,-6.48416,-17.96186,982.98329
13603058,-6.48416,-18.03639,982.83423
13613058,-6.40963,-18.25998,982.83423
13623058,-6.40963,-18.11092,983.35594
13633058,-6.55869,-18.18545,982.90876
13643058,-6.48416,-17.88733,982.75970
13653058,-6.55869,-17.88733,983.05782
13663058,-6.40963,-17.73827,982.98329
13673058,-6.48416,-17.88733,982.90876
13683058,-6.48416,-18.03639,982.46158
13693058,-6.55869,-18.25998,983.13235
13703058,-6.40963,-18.11092,982.98329
13713058,-6.40963,-17.73827,982.83423
13723058,-6.48416,-18.40904,982.83423
13733058,-6.26057,-17.88733,982.98329
13743058,-6.40963,-18.03639,983.05782
13753058,-6.55869,-18.18545,982.98329
13763058,-6.40963,-18.25998,982.98329
13773058,-6.40963,-18.03639,982.46158
13783058,-6.40963,-17.81280,982.68517
13793058,-6.33510,-18.18545,983.05782
13803058,-6.48416,-18.03639,983.13235
13813058,-6.63322,-18.03639,982.75970
13823058,-6.40963,-17.96186,982.46158
13833058,-6.26057,-18.03639,982.98329
13843058,-6.48416,-18.33451,982.90876
13853058,-6.55869,-17.96186,982.98329
13863058,-6.33510,-18.11092,982.68517
13873058,-6.18603,-17.81280,982.90876
13883058,-6.55869,-18.03639,983.05782
13893058,-6.33510,-18.11092,983.05782
13903058,-6.48416,-18.11092,982.68517
13913058,-6.40963,-18.11092,982.98329
13923058,-6.40963,-18.11092,983.05782
13933058,-6.63322,-17.81280,982.75970
13943058,-6.48416,-17.88733,982.75970
13953058,-6.63322,-18.03639,982.68517
13963058,-6.85681,-17.66374,982.83423
13973058,-6.40963,-17.88733,982.75970
13983058,-6.40963,-17.96186,982.75970
13993058,-6.63322,-18.33451,982.83423
14003058,-6.48416,-18.03639,983.20688
14013058,-6.48416,-17.88733,982.83423
14023058,-6.40963,-18.03639,983.13235
14033058,-6.55869,-18.03639,982.53611
14043058,-6.55869,-17.81280,982.83423
14053058,-6.26057,-18.18545,982.98329
14063058,-6.48416,-18.33451,982.75970
14073058,-6.40963,-18.11092,982.46158
14083058,-6.48416,-18.11092,982.31252
14093058,-6.40963,-18.11092,983.20688
14103058,-6.48416,-18.18545,982.90876
14113058,-6.26057,-18.11092,982.46158
14123058,-6.63322,-18.11092,983.05782
14133058,-6.40963,-17.88733,982.83423
14143058,-6.40963,-17.81280,982.61064
14153058,-6.93134,-17.81280,982.90876
14163058,-6.48416,-18.18545,982.83423
14173058,-6.48416,-18.03639,982.83423
14183058,-6.48416,-18.03639,982.75970
14193058,-6.40963,-18.11092,982.98329
14203058,-6.33510,-18.25998,983.28141
14213058,-6.63322,-18.03639,982.90876
14223058,-6.48416,-17.66374,982.46158
14233058,-6.48416,-17.96186,982.83423
14243058,-6.70775,-18.11092,982.75970
14253058,-6.40963,-18.18545,982.90876
14263058,-6.55869,-18.03639,982.83423
14273058,-6.55869,-18.11092,982.98329
14283058,-6.63322,-18.11092,982.90876
14293058,-6.18603,-18.03639,982.98329
14303058,-6.40963,-18.25998,983.05782
14313058,-6.48416,-17.96186,982.98329
14323058,-6.33510,-18.03639,983.05782
14333058,-6.55869,-18.18545,983.05782
14343058,-6.48416,-18.03639,982.90876
14353058,-6.48416,-18.48357,982.90876
14363058,-6.48416,-16.32219,982.75970
14373058,-6.48416,-18.40904,983.05782
14383058,-6.26057,-18.48357,983.20688
